#{"t_start": 1530713429.3655992, "env_id": "Humanoid-v2"}
r,l,t
80.867036,17,1.319036
81.083614,17,1.343115
134.175986,29,1.387665
80.568061,17,1.413116
128.022985,30,1.459791
76.041605,16,1.483158
84.499168,18,1.509899
80.332467,17,1.534826
156.742621,35,1.588095
183.465247,40,1.650875
101.099902,22,1.6858
150.099345,33,1.738133
95.015562,20,1.772445
81.353448,17,1.800869
89.182558,19,1.834277
81.089609,17,1.857124
86.217266,18,1.881005
83.340412,18,1.904338
75.740858,16,1.924647
92.766718,19,1.95349
136.677148,28,2.004885
99.476419,23,2.055321
106.366761,23,2.102819
81.236183,17,2.135566
130.189401,27,2.179923
81.198803,17,2.20332
90.531504,19,2.230116
76.428172,16,2.253411
94.617259,20,2.283293
86.405641,18,2.310959
85.719338,18,2.337798
80.891873,17,2.362674
77.619494,17,2.389979
186.123867,39,2.457762
88.921066,19,2.486005
118.40722,25,2.526666
81.113468,17,2.555314
91.021542,19,2.587275
76.11442,16,2.608555
76.617359,16,2.631103
84.992264,18,2.657453
81.290473,17,2.682323
154.073196,32,2.736795
144.841876,31,2.788494
141.066272,32,2.83495
85.87396,18,2.861964
90.78941,19,2.890121
85.140284,18,2.914299
110.334319,24,2.948231
103.061086,21,2.987827
107.763059,22,3.017103
80.065221,17,3.038523
88.480181,18,3.061024
142.428913,29,3.099921
189.611906,40,3.159483
90.636737,19,3.187785
80.321499,17,3.217651
126.980974,29,3.261566
103.649626,27,3.302975
115.746765,24,3.338111
75.624471,16,3.36814
134.866999,28,3.424393
106.758568,23,3.46914
112.87485,23,3.500249
93.740548,20,3.526869
81.387777,17,3.548917
128.838907,27,3.587581
96.690411,20,3.616658
109.043818,25,3.653353
121.772691,25,3.690704
130.064234,29,3.73223
77.712714,17,3.757759
110.799937,23,3.789117
141.483895,30,3.829657
81.48593,17,3.86156
81.24157,17,3.894251
149.296657,31,3.943284
134.982354,28,3.981707
78.900719,17,4.005269
81.292222,17,4.030471
112.747762,25,4.067698
122.34042,25,4.105751
142.559009,29,4.151279
79.605893,17,4.175854
111.363422,24,4.213461
94.288193,21,4.243372
85.704817,18,4.269986
107.88318,25,4.307844
146.951499,31,4.366602
107.627376,24,4.407751
127.439148,29,4.450272
96.098357,20,7.472234
109.892848,26,7.5176
118.855049,26,7.552871
115.266967,26,7.587999
78.928334,17,7.609516
80.176763,17,7.630787
76.513163,16,7.650596
109.33881,23,7.680357
99.437744,21,7.70743
85.955682,18,7.730504
91.888481,19,7.754682
147.788082,34,7.799898
99.376458,23,7.83095
76.30905,16,7.851806
67.933159,15,7.871234
84.623261,18,7.893586
86.697009,18,7.919901
104.625581,21,7.947855
123.744527,27,7.984258
80.442802,17,8.006196
124.74936,29,8.047507
195.538823,42,8.121633
134.543616,29,8.171662
81.090155,17,8.200038
67.774992,15,8.22431
121.098827,25,8.267447
233.800851,51,8.353097
186.085006,41,8.425113
146.00084,32,8.480401
108.764434,23,8.514297
79.353079,17,8.537061
139.231479,30,8.580356
85.687308,18,8.606751
173.888483,35,8.658307
121.446685,24,8.694771
147.671076,30,8.738526
129.56937,26,8.776079
85.470113,18,8.799433
89.119867,19,8.825348
81.313004,17,8.854394
91.931582,20,8.894144
91.375747,19,8.931144
86.278695,18,8.957475
142.95171,32,9.006373
91.39162,19,9.034616
81.443621,17,9.05936
100.898429,21,9.090947
102.252115,21,9.125007
97.555282,21,9.156867
185.314918,42,9.227097
81.390535,17,9.252446
76.402114,16,9.27586
159.006632,33,9.328656
81.027789,17,9.355715
81.253358,17,9.382204
74.785286,16,9.405563
92.902486,19,9.439881
87.781096,18,9.469168
81.267591,17,9.494362
141.9046,28,9.537726
85.028713,18,9.564549
120.582416,26,9.604059
102.440161,22,9.636457
92.190933,19,9.665332
192.138468,39,9.722054
104.803498,22,9.752029
128.777743,28,9.799293
204.31208,41,9.884138
81.386179,17,9.915534
90.604414,19,9.951351
81.377044,17,9.972443
84.597404,18,9.995019
85.317301,18,10.019894
85.629585,18,10.04524
81.553801,17,10.07123
157.682386,33,10.132796
156.869893,35,10.196851
116.279687,26,10.243908
143.732488,32,10.298636
76.491839,16,10.318848
100.660487,23,10.355361
112.07048,24,10.398362
88.250516,19,10.43598
140.932764,32,10.500682
83.166131,18,10.53693
