#{"env_id": "Humanoid-v2", "t_start": 1530713429.3185368}
r,l,t
75.372867,16,1.355751
86.878902,18,1.379569
118.832561,26,1.4147
131.676863,27,1.450615
209.689803,44,1.519606
76.638619,16,1.54712
91.706463,19,1.57994
88.883909,19,1.609196
74.486355,16,1.633416
75.92654,16,1.658455
109.845943,23,1.697567
84.607975,18,1.728487
76.53514,16,1.755738
95.118002,20,1.791002
73.107237,16,1.818664
89.573835,20,1.844677
76.053769,16,1.865255
84.440467,18,1.888368
94.513823,19,1.914669
101.516073,21,1.947337
88.131,18,1.970843
102.733548,22,2.001145
162.858203,38,2.067746
96.60429,20,2.101886
105.553066,23,2.140556
113.248529,24,2.172295
77.77636,17,2.194081
75.654189,16,2.21475
138.58313,29,2.263952
162.587387,35,2.338873
88.322204,19,2.377399
75.677037,16,2.409672
184.857884,40,2.494453
100.145883,21,2.524021
85.043327,18,2.547798
190.08202,38,2.60104
81.877916,17,2.6254
126.356969,29,2.667997
80.283421,17,2.699952
130.184775,28,2.75607
158.86131,37,2.833954
79.385313,17,2.860936
144.207519,31,2.921487
81.968793,17,2.952088
103.527137,21,2.986683
85.307902,18,3.016227
81.317842,17,3.044314
125.548745,26,3.08904
216.095591,49,3.181949
81.075491,17,3.206064
100.331541,21,3.236932
122.716189,28,3.302258
75.878945,16,3.334643
88.739191,19,3.365412
91.843054,19,3.396587
75.595312,16,3.42718
90.339164,19,3.464859
151.478441,35,3.537712
125.345949,26,3.591139
177.110115,40,3.666364
200.098991,42,3.723172
158.293611,36,3.770834
87.990081,18,3.797879
76.698484,16,3.82741
116.861759,27,3.882411
76.386563,16,3.911723
118.873802,24,3.943351
80.826262,17,3.964751
114.676361,26,4.001237
93.895649,20,4.030006
121.545446,25,4.063882
81.309084,17,4.08661
129.921618,30,4.128802
82.759075,18,4.153652
141.242356,29,4.195185
127.660695,27,4.23521
80.952173,17,4.261019
102.401293,21,4.293595
136.203438,28,4.334572
143.000396,29,4.375227
105.262687,22,4.405693
85.400929,18,4.435658
182.047484,36,4.497393
104.029374,22,4.53742
141.139518,31,4.590666
90.066484,20,4.621602
107.961324,22,4.654337
81.465507,17,7.50608
75.373365,16,7.530822
122.177204,25,7.566338
87.242035,18,7.593139
126.885486,27,7.632139
130.87157,27,7.671434
226.246017,45,7.736629
75.553182,16,7.759195
85.209324,18,7.782539
76.33675,16,7.805061
214.684805,43,7.873426
141.779155,32,7.918173
74.322921,16,7.940766
179.890525,39,8.001593
80.060344,17,8.02693
112.541672,24,8.068636
110.436948,23,8.111682
91.649177,21,8.150027
81.243042,17,8.179412
80.260052,17,8.209465
149.559912,33,8.268174
81.351047,17,8.297714
115.398943,26,8.347202
80.978719,17,8.376821
86.310997,18,8.408506
108.140284,22,8.446465
93.397312,19,8.476141
134.8969,27,8.520072
109.736864,23,8.55543
85.90002,18,8.581944
183.286737,38,8.661994
94.733406,20,8.702012
86.628496,18,8.732101
81.622279,17,8.758005
105.434839,22,8.793805
116.632479,24,8.830252
95.111272,23,8.861156
132.692903,30,8.90023
151.341558,33,8.945607
177.946481,38,9.008035
130.402794,28,9.046446
81.422557,17,9.069655
159.872338,34,9.118301
79.620048,18,9.142995
80.073721,17,9.173159
95.209044,20,9.212422
102.762825,22,9.24583
85.813432,18,9.269281
110.270833,23,9.299228
107.613131,23,9.329724
173.072263,35,9.375377
152.471609,35,9.423012
135.744423,28,9.461062
155.789745,34,9.51024
105.430299,22,9.541786
102.960361,21,9.571652
90.516216,20,9.600428
182.114213,40,9.660322
76.495181,16,9.683
187.990035,39,9.736706
94.110612,20,9.763768
89.815821,19,9.788612
162.136525,38,9.845294
131.254279,28,9.899149
115.529376,24,9.93486
76.000044,16,9.957667
94.089559,20,9.986937
81.441679,17,10.010386
137.918168,30,10.055859
204.43205,46,10.123696
76.623322,16,10.144976
81.193802,17,10.16804
102.562189,21,10.197615
127.468766,26,10.233649
92.162803,19,10.260262
86.078856,18,10.284538
81.077695,17,10.314544
94.629748,20,10.347282
86.440889,18,10.37542
131.82118,27,10.431817
81.033062,17,10.458668
128.941751,28,10.497579
131.522934,29,10.537086
83.979077,18,10.560947
93.281464,20,10.589851
165.554777,37,13.319376
137.582907,30,13.363773
185.331937,37,13.420648
131.732135,28,13.469231
96.064253,20,13.501719
132.671477,27,13.547488
124.174823,26,13.592585
96.174955,20,13.627888
81.108667,17,13.656173
135.730836,28,13.706646
91.606209,19,13.740337
86.306173,19,13.772302
97.305496,21,13.804081
117.139128,26,13.842969
97.280629,23,13.877115
126.646373,30,13.921654
140.828633,30,13.965849
90.461033,19,13.99064
153.213881,33,14.052873
119.292055,25,14.102588
117.746959,27,14.156366
76.631215,16,14.186264
87.455646,18,14.219697
176.288135,36,14.27299
164.40436,33,14.319716
108.14077,22,14.350709
119.97575,25,14.385402
75.404161,16,14.407794
130.220793,30,14.449594
81.237787,17,14.4733
144.689136,30,14.522518
81.334467,17,14.548695
159.360074,32,14.601948
85.879395,18,14.63517
123.544328,26,14.680743
137.516883,30,14.727463
156.690452,33,14.772481
158.793731,33,14.824778
175.720502,37,14.883212
140.010458,30,14.928454
173.674059,38,14.989604
80.841135,17,15.01486
85.754587,18,15.037941
118.263792,24,15.069725
131.957649,27,15.106077
135.716879,28,15.142705
191.160581,40,15.20112
140.032182,28,15.243783
129.507785,29,15.286803
162.461365,33,15.335838
82.058794,17,15.362155
88.962028,19,15.397312
174.676359,38,15.475633
80.288839,17,15.507727
143.892056,33,15.562737
141.25687,31,15.604449
140.852073,30,15.644752
81.270579,17,15.666686
113.579672,23,15.696857
172.96455,40,15.757458
123.295313,25,15.794251
85.628342,18,15.819381
101.268371,21,15.850546
81.436538,17,15.873468
131.548215,26,15.911064
176.01414,39,15.970039
122.639714,25,16.003968
109.805932,24,16.035107
128.93696,28,16.071484
137.393758,31,16.114605
126.070129,28,16.155822
115.860426,24,16.192494
86.960536,18,16.219599
137.219465,32,16.268737
133.38203,28,16.310233
98.641022,21,16.340935
108.591374,23,16.375687
109.370905,23,16.40951
136.797067,29,16.454082
86.139977,18,19.192598
85.200941,18,19.220565
180.527317,37,19.274698
105.991176,22,19.306684
164.515989,34,19.369949
180.825205,37,19.444786
167.716881,36,19.503381
214.252362,52,19.594842
173.657361,35,19.658831
171.967752,36,19.728513
91.87279,19,19.754734
87.046582,18,19.777257
150.744837,32,19.839752
118.911884,25,19.876577
155.194243,34,19.933917
115.56717,26,19.977329
152.709919,31,20.042896
149.818524,30,20.106142
199.8772,44,20.184753
148.634864,32,20.252957
90.017139,19,20.289979
180.956452,37,20.355954
174.045558,38,20.411077
126.613082,28,20.465666
185.404203,38,20.540992
130.875825,28,20.60109
91.420816,19,20.640024
104.575273,22,20.676727
207.840281,43,20.742387
112.828209,26,20.779458
208.960848,44,20.869997
84.252987,18,20.904902
101.991775,21,20.947358
173.885252,37,21.01713
148.174743,30,21.06192
161.073738,34,21.121415
104.175128,23,21.154282
105.695594,23,21.19968
117.781604,24,21.250941
165.557035,36,21.330854
163.698893,36,21.397865
131.295585,30,21.44545
188.164448,42,21.516558
96.793382,20,21.548207
85.200974,18,21.577126
103.95981,22,21.613083
100.874899,21,21.647588
170.094047,35,21.70475
86.676677,18,21.733698
257.73779,54,21.825241
86.083568,18,21.854654
382.902089,77,21.990335
157.118895,32,22.04847
220.620062,48,22.120013
165.062226,35,22.179362
81.12899,17,22.207157
145.348545,32,22.257514
161.539549,34,22.321725
120.899684,26,22.367971
128.757768,31,22.423616
118.939654,26,22.468305
