#{"t_start": 1530713429.4165452, "env_id": "Humanoid-v2"}
r,l,t
218.162469,49,19.913888
148.095559,30,19.959778
127.569917,26,20.004715
258.427497,52,20.101958
165.098794,37,20.177018
176.30636,41,20.261484
173.933076,39,20.3203
123.484568,27,20.360132
138.168295,29,20.402489
80.858651,17,20.429782
154.90133,33,20.486673
146.787943,31,20.542082
165.340423,33,20.598785
143.106515,30,20.652019
180.513206,38,20.719402
90.011216,19,20.753408
322.973363,67,20.872859
76.835495,16,20.898464
106.826348,23,20.937104
99.687119,21,20.972749
129.62908,30,21.025643
80.626522,17,21.048332
167.49502,35,21.095923
109.362864,23,21.126449
172.516824,38,21.179137
141.002656,30,21.219027
79.712623,17,21.241112
99.833682,22,21.27035
88.871294,19,21.295606
133.005195,29,21.336513
111.139024,24,21.372145
201.463428,41,21.432248
102.280573,21,21.462693
90.599919,19,21.490202
150.010898,32,21.543492
182.805215,39,21.620572
152.948056,33,21.669687
139.585103,31,21.714411
85.746609,18,21.739126
173.727859,37,21.791885
270.768141,55,21.879135
121.588114,26,21.925
86.441377,18,21.955516
208.031078,48,22.041082
89.211189,21,22.074927
90.651846,19,22.106181
135.622209,29,22.152716
148.901085,31,22.199807
95.201613,20,22.228411
96.276007,20,22.256768
81.007423,17,22.280683
85.944806,18,22.305955
146.10673,31,22.352288
100.139474,21,22.38138
140.377158,31,22.425601
89.36639,19,22.451644
180.63625,39,24.935212
81.484723,17,24.958025
120.870592,26,24.992014
100.400793,22,25.026458
158.513729,32,25.076789
102.962288,21,25.110251
168.854181,35,25.165246
208.898898,47,25.239267
322.19719,63,25.339699
129.32404,29,25.39936
85.527,18,25.433997
154.673097,33,25.504182
147.0964,32,25.56997
192.310547,42,25.645273
145.420858,30,25.691372
81.306483,17,25.717718
141.081985,31,25.76055
153.032576,33,25.80455
182.449096,36,25.855734
199.135241,39,25.912673
103.292393,21,25.943018
92.873573,19,25.969494
162.081999,34,26.01856
222.412118,46,26.090894
118.558264,26,26.12832
177.82074,40,26.188385
144.994177,30,26.232925
236.293503,59,26.317733
162.133211,38,26.379003
157.509946,33,26.438188
320.654119,64,26.547065
72.776917,16,26.570306
146.925015,31,26.617331
156.230015,35,26.670433
113.036182,24,26.705321
195.646861,40,26.766247
208.754573,44,26.831694
211.183919,43,26.897434
186.943567,39,26.95894
228.647954,47,27.032201
101.509786,21,27.06402
165.39452,42,27.130449
177.60022,35,27.179329
96.861151,20,27.20574
199.134465,41,27.263978
87.969352,19,27.292107
149.03736,32,27.338985
81.379433,17,27.362091
135.905677,28,27.400019
92.627371,19,27.429884
81.138716,17,27.45733
176.216315,42,27.525549
133.647649,27,27.564861
154.276246,37,27.628346
113.593058,23,27.666735
107.807546,22,27.699692
189.559126,40,27.756794
254.777623,49,27.853183
172.823545,38,27.91341
86.072038,18,27.936688
273.580361,55,28.01148
188.762473,40,28.06922
270.151859,58,30.966429
86.499556,18,31.001076
170.121661,37,31.075344
102.083333,21,31.117037
211.324643,48,31.211264
230.869097,48,31.278514
184.033408,39,31.348589
280.638301,64,31.454294
282.91756,60,31.539925
93.720111,20,31.577628
201.157664,44,31.668141
222.602852,47,31.761675
131.40921,28,31.818292
177.771132,39,31.889822
187.877043,41,31.963437
334.724245,67,32.065717
107.326054,22,32.102145
148.765398,35,32.176701
148.685395,33,32.228067
121.194406,28,32.267689
208.257979,44,32.331318
131.837601,33,32.384933
135.896181,29,32.431362
181.426332,41,32.496118
105.208665,24,32.531715
168.538351,38,32.591205
141.345207,32,32.641854
134.333621,27,32.679646
219.615284,49,32.771983
85.293634,18,32.807318
268.349207,53,32.897033
185.663519,37,32.95353
224.732034,47,33.02663
197.50382,42,33.095475
142.066258,29,33.144053
127.899106,26,33.188428
151.503439,35,33.252477
203.354317,45,33.337053
331.133121,63,33.437557
169.280581,35,33.490037
247.073782,56,33.586762
174.97896,38,33.650524
268.582839,53,33.744638
94.024411,20,33.777665
166.751796,37,33.843706
197.566589,40,33.917283
173.946391,38,33.987475
200.870032,44,34.065949
204.044603,43,34.14147
160.408802,34,34.187281
316.346306,67,34.286736
109.868425,25,34.322742
217.000745,52,36.712594
178.939839,42,36.800627
177.509758,40,36.860234
127.337455,28,36.902907
301.849568,59,36.984534
215.505421,44,37.044241
320.700639,65,37.146714
371.625242,68,37.253566
148.031908,31,37.300924
157.731037,35,37.354727
233.698989,49,37.431922
263.82915,53,37.512945
91.008233,19,37.538951
161.66509,34,37.593796
