#{"t_start": 1530713429.354747, "env_id": "Humanoid-v2"}
r,l,t
117.731514,24,1.32553
124.98688,27,1.362715
114.138376,23,1.402159
106.470489,22,1.438362
114.656789,25,1.471889
126.19798,26,1.512214
85.225747,19,1.544703
103.560285,22,1.580335
145.765944,33,1.636391
85.347058,18,1.666898
119.578875,26,1.718378
95.238447,20,1.75657
80.832225,17,1.788924
85.359985,18,1.824313
120.144462,27,1.866003
118.361609,25,1.901318
92.635712,19,1.926218
90.992421,19,1.954404
151.553259,32,2.010971
128.20591,27,2.056202
79.951664,17,2.085349
70.597708,16,2.11354
85.747827,20,2.154053
81.018632,17,2.186391
86.688607,18,2.221564
106.431449,22,2.265305
91.65356,19,2.301768
101.06111,22,2.340359
85.008022,18,2.366758
130.677279,29,2.407964
117.816058,26,2.445202
85.577824,18,2.469963
81.341956,17,2.494965
94.173507,21,2.531279
85.728098,18,2.562887
104.910526,22,2.60115
86.190702,18,2.626777
135.181322,29,2.670398
85.48676,18,2.697008
96.789726,21,2.734263
90.755781,19,2.772681
134.680133,29,2.824248
81.383889,17,2.857929
212.183083,45,2.939236
84.824535,18,2.972428
87.286819,19,3.00991
135.098612,30,3.06694
162.583238,32,3.127577
96.969583,20,3.156395
92.809099,20,3.18125
118.107147,24,3.212277
85.860974,18,3.23547
143.413991,32,3.298407
115.58489,25,3.340489
81.541153,17,3.370036
89.179325,19,3.398126
79.291713,17,3.422527
91.033209,19,3.449124
103.915918,22,3.480304
90.289068,19,3.516829
81.93963,17,3.547124
99.921863,21,3.5799
81.260853,17,3.612141
164.055612,32,3.670469
141.94869,31,3.710658
87.687951,18,3.733917
177.854566,37,3.786018
81.592296,17,3.810362
114.575667,24,3.846505
126.32498,29,3.886239
87.514313,18,3.909591
116.268414,25,3.945344
81.389487,17,3.9703
76.324218,16,3.992182
168.060406,34,4.050669
75.249528,16,4.081045
173.079109,36,4.154881
96.534695,20,4.193101
98.879636,21,4.220227
76.419315,16,4.240768
83.298505,18,4.263739
105.283443,23,4.293722
98.384443,22,4.322333
79.890182,17,4.343912
76.211968,16,4.363923
91.150023,20,4.390569
74.468567,16,4.412204
81.459762,17,4.438855
85.968963,18,4.466112
